Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
48,Yes,Non-Travel,403,Human Resources,30,5,Other,1,1,4,Male,61,4,5,Research Scientist,1,Married,11405,182480,0,Y,Yes,24,1,2,80,1,26,5,1,7,5,4,2
40,No,Travel_Rarely,1433,Human Resources,46,3,Technical Degree,1,2,1,Female,33,3,5,Laboratory Technician,4,Single,38621,695178,5,Y,Yes,2,1,2,80,3,18,6,2,10,4,1,5
22,No,Travel_Frequently,1259,Support,45,1,Marketing,1,3,3,Female,154,3,5,Sales Executive,3,Divorced,48490,242450,5,Y,Yes,16,4,3,80,4,34,5,2,25,19,24,25
24,No,Non-Travel,1218,Software,8,3,Human Resources,1,4,4,Male,150,1,4,Healthcare Representative,2,Divorced,37438,112314,2,Y,No,36,1,1,80,3,39,6,3,11,10,8,11
41,No,Travel_Rarely,987,Software,43,3,Medical,1,5,2,Female,196,2,4,Laboratory Technician,1,Divorced,3220,28980,7,Y,No,3,2,2,80,2,7,4,1,5,5,2,5
50,Yes,Travel_Rarely,401,Human Resources,40,4,Medical,1,6,2,Male,137,2,2,Manager,4,Married,9969,29907,5,Y,Yes,45,2,4,80,2,2,1,2,1,1,1,1
45,Yes,Travel_Frequently,670,Sales,35,2,Other,1,7,3,Female,110,3,5,Sales Executive,1,Married,5544,144144,7,Y,Yes,2,2,4,80,3,10,6,2,7,6,5,6
44,Yes,Travel_Rarely,1377,Research & Development,8,1,Human Resources,1,8,2,Female,132,4,5,Sales Executive,1,Divorced,4126,99024,6,Y,Yes,44,3,4,80,1,38,2,2,6,1,3,4
41,Yes,Non-Travel,1296,Research & Development,6,2,Other,1,9,4,Female,152,3,4,Developer,2,Single,8390,8390,1,Y,No,5,2,3,80,3,10,2,2,1,1,1,1
48,No,Non-Travel,1021,Human Resources,36,2,Human Resources,1,10,2,Male,147,4,1,Healthcare Representative,1,Single,31383,439362,2,Y,No,12,2,4,80,1,18,6,2,18,1,16,4
39,No,Non-Travel,538,Software,33,5,Life Sciences,1,11,4,Male,74,3,5,Sales Executive,1,Married,14197,425910,1,Y,No,27,4,1,80,2,8,4,2,6,1,4,2
50,Yes,Non-Travel,1369,Sales,35,4,Life Sciences,1,12,3,Female,106,3,1,Sales Representative,2,Divorced,13144,381176,7,Y,No,43,4,4,80,1,22,6,4,17,6,3,10
25,Yes,Travel_Frequently,1247,Software,11,1,Technical Degree,1,13,4,Male,85,2,5,Developer,3,Single,18842,546418,3,Y,No,14,3,2,80,2,8,3,3,4,2,4,3
55,Yes,Travel_Rarely,1207,Sales,6,2,Marketing,1,14,3,Male,113,4,3,Sales Representative,4,Married,29641,503897,7,Y,No,10,3,1,80,1,6,3,2,4,3,3,1
60,No,Travel_Rarely,1328,Hardware,5,2,Other,1,15,4,Male,52,2,4,Manager,1,Divorced,46380,649320,3,Y,Yes,6,3,4,80,3,10,3,2,3,2,1,2
21,No,Travel_Frequently,1115,Research & Development,7,3,Marketing,1,16,4,Female,196,2,1,Sales Representative,4,Divorced,13562,230554,8,Y,No,47,3,4,80,3,5,5,1,3,2,1,3
